Event,Start Date,Start Time,End Date,End Time,Location,Category,Description
Women's Track and Field  Mountain T's Invitational,2/2/18,10:00 AM,2/2/18,11:59 PM,"Flagstaff, AZ",Women's Track and Field,"Women's Track and Field  Mountain T's Invitational Flagstaff, AZ"
Men's Tennis at  UNLV,2/2/18,2:00 PM,2/2/18,5:00 PM,"Las Vegas, NV",Men's Tennis,"Men's Tennis at  UNLV Las Vegas, NV"
Women's Tennis vs  Cal State Fullerton,2/3/18,11AM,2/3/18,2:00 PM,"Riverside, CA",Women's Tennis,"Women's Tennis vs  Cal State Fullerton Riverside, CA"
Women's Basketball at  Cal Poly,2/3/18,2:00 PM,2/3/18,5:00 PM,"San Luis Obispo, CA",Women's Basketball,"Women's Basketball at  Cal Poly San Luis Obispo, CA"
Men's Tennis vs  Weber State University,2/3/18,10:00 AM,2/3/18,1:00 PM,"Las Vegas, NV",Men's Tennis,"Men's Tennis vs  Weber State University Las Vegas, NV"
Men's Tennis vs  New Mexico State University,2/3/18,2:00 PM,2/3/18,5:00 PM,"Las Vegas, NV",Men's Tennis,"Men's Tennis vs  New Mexico State University Las Vegas, NV"
Men's Basketball at  Hawai'i,2/7/18,9:00 PM,2/7/18,11:59 PM,"Manoa, HI",Men's Basketball,"Men's Basketball at  Hawai'i Manoa, HI"
General vs  Coaches' Show,2/7/18,6-7 pm,2/7/18,3:00 AM,Lake Alice Trading Company,General,General vs  Coaches' Show Lake Alice Trading Company
Women's Basketball vs  UC Santa Barbara,2/8/18,7:00 PM,2/8/18,10:00 PM,"Riverside, CA",Women's Basketball,"Women's Basketball vs  UC Santa Barbara Riverside, CA"
Women's Track and Field  UW Husky Classic ,2/9/18,10:00 AM,2/9/18,11:59 PM,"Seattle, WA",Women's Track and Field,"Women's Track and Field  UW Husky Classic  Seattle, WA"
Men's Track and Field  UW Husky Classic ,2/9/18,10:00 AM,2/9/18,11:59 PM,"Seattle, WA",Men's Track and Field,"Men's Track and Field  UW Husky Classic  Seattle, WA"
Softball vs  Rutgers,2/9/18,1:00 PM,2/9/18,4:00 PM,"Fullerton, CA",Softball,"Softball vs  Rutgers Fullerton, CA"
Softball vs  Loyola Marymount,2/9/18,3:30 PM,2/9/18,6:30 PM,"Fullerton, CA",Softball,"Softball vs  Loyola Marymount Fullerton, CA"
Men's Track and Field  UNM Don Kirby Invitational ,2/9/18,4:00 PM,2/9/18,11:59 PM,"Albuquerque, NM",Men's Track and Field,"Men's Track and Field  UNM Don Kirby Invitational  Albuquerque, NM"
Women's Track and Field  UNM Don Kirby Invitational ,2/9/18,4:00 PM,2/9/18,11:59 PM,"Albuquerque, NM",Women's Track and Field,"Women's Track and Field  UNM Don Kirby Invitational  Albuquerque, NM"
