Event,Start Date,Start Time,End Date,End Time,Location,Category,Description
Baseball at  Nevada,3/18/18,12:00 PM,3/18/18,3:00 PM,"Reno, NV",Baseball,"Baseball at  Nevada Reno, NV"
Softball vs  Idaho State,3/18/18,2:00 PM,3/18/18,5:00 PM,"Riverside, CA",Softball,"Softball vs  Idaho State Riverside, CA"
Men's Tennis vs  Charleston College,3/18/18,10:00 AM,3/18/18,1:00 PM,Student Recreation Center,Men's Tennis,Men's Tennis vs  Charleston College Student Recreation Center
Women's Track and Field  UC Riverside Spring Track Classic (Multis),3/22/18,11:00 AM,3/22/18,11:59 PM,"Riverside, CA",Women's Track and Field,"Women's Track and Field  UC Riverside Spring Track Classic (Multis) Riverside, CA"
Men's Track and Field  UC Riverside Spring Track Classic (Multis),3/22/18,11:00 AM,3/22/18,11:59 PM,"Riverside, CA",Men's Track and Field,"Men's Track and Field  UC Riverside Spring Track Classic (Multis) Riverside, CA"
Men's Track and Field  UC Riverside Spring Track Classic,3/24/18,10:00 AM,3/24/18,1:00 PM,"Riverside, CA",Men's Track and Field,"Men's Track and Field  UC Riverside Spring Track Classic Riverside, CA"
Women's Track and Field  UC Riverside Spring Track Classic,3/24/18,10:00 AM,3/24/18,1:00 PM,"Riverside, CA",Women's Track and Field,"Women's Track and Field  UC Riverside Spring Track Classic Riverside, CA"
Softball vs  San Diego,3/24/18,1:00 PM,3/24/18,4:00 PM,"Riverside, CA",Softball,"Softball vs  San Diego Riverside, CA"
Softball vs  San Diego,3/24/18,3:30 PM,3/24/18,6:30 PM,"Riverside, CA",Softball,"Softball vs  San Diego Riverside, CA"
Softball vs  San Diego,3/25/18,1:00 PM,3/25/18,4:00 PM,"Riverside, CA",Softball,"Softball vs  San Diego Riverside, CA"
Women's Golf  Anuenue Spring Break Classic,3/26/18, PM,3/27/18,11:59 PM,"Maui, HI",Women's Golf,"Women's Golf  Anuenue Spring Break Classic Maui, HI"
Men's Tennis at  North Carolina A&T,3/26/18,9:00 AM,3/26/18,12:00 PM,"Greensboro, NC",Men's Tennis,"Men's Tennis at  North Carolina A&T Greensboro, NC"
Men's Tennis at  Campbell,3/26/18,1:30 PM,3/26/18,4:30 PM,"Buies Creek, NC",Men's Tennis,"Men's Tennis at  Campbell Buies Creek, NC"
Baseball at  Fresno State,3/27/18,6:05 PM,3/27/18,9:05 PM,"Fresno, CA",Baseball,"Baseball at  Fresno State Fresno, CA"
Men's Tennis at  Methodist,3/27/18,6:00 AM,3/27/18,9:00 AM,"Fayette, MO",Men's Tennis,"Men's Tennis at  Methodist Fayette, MO"
Men's Tennis at  Chowan,3/27/18,12:00 PM,3/27/18,3:00 PM,"Murfreesboro, NC",Men's Tennis,"Men's Tennis at  Chowan Murfreesboro, NC"
Men's Tennis at  West Virginia Wesleyan,3/28/18,6:30 AM,3/28/18,9:30 AM,"Buckhannon, WV",Men's Tennis,"Men's Tennis at  West Virginia Wesleyan Buckhannon, WV"
Men's Tennis at  Norfolk State,3/28/18,12:00 PM,3/28/18,3:00 PM,"Norfolk, VA",Men's Tennis,"Men's Tennis at  Norfolk State Norfolk, VA"
Baseball vs  UC Davis,3/29/18,6:00 PM,3/29/18,9:00 PM,"Riverside, CA",Baseball,"Baseball vs  UC Davis Riverside, CA"
Men's Track and Field  Stanford Invitational,3/30/18,8:00 AM,3/30/18,11:59 PM,"Stanford, CA",Men's Track and Field,"Men's Track and Field  Stanford Invitational Stanford, CA"
Women's Track and Field  Stanford Invitational,3/30/18,8:00 AM,3/30/18,11:59 PM,"Stanford, CA",Women's Track and Field,"Women's Track and Field  Stanford Invitational Stanford, CA"
Softball at  Cal Poly,3/30/18,1:00 PM,3/30/18,4:00 PM,"San Luis Obispo, CA",Softball,"Softball at  Cal Poly San Luis Obispo, CA"
Baseball vs  UC Davis,3/30/18,6:00 PM,3/30/18,9:00 PM,"Riverside, CA",Baseball,"Baseball vs  UC Davis Riverside, CA"
Men's Tennis at  North Carolina Central,3/30/18,12:00 PM,3/30/18,3:00 PM,"Durham, NC",Men's Tennis,"Men's Tennis at  North Carolina Central Durham, NC"
Men's Track and Field  Sacramento State Mondo Team Challenge,3/31/18,11:00 AM,3/31/18,2:00 PM,"Sacramento, CA",Men's Track and Field,"Men's Track and Field  Sacramento State Mondo Team Challenge Sacramento, CA"
Women's Track and Field  Sacramento State Mondo Team Challenge,3/31/18,11:00 AM,3/31/18,2:00 PM,"Sacramento, CA",Women's Track and Field,"Women's Track and Field  Sacramento State Mondo Team Challenge Sacramento, CA"
Softball at  Cal Poly,3/31/18,1:00 PM,3/31/18,4:00 PM,"San Luis Obispo, CA",Softball,"Softball at  Cal Poly San Luis Obispo, CA"
Baseball vs  UC Davis,3/31/18,1:00 PM,3/31/18,4:00 PM,"Riverside, CA",Baseball,"Baseball vs  UC Davis Riverside, CA"
Softball at  Cal Poly,3/31/18,3:30 PM,3/31/18,6:30 PM,"San Luis Obispo, CA",Softball,"Softball at  Cal Poly San Luis Obispo, CA"
Men's Tennis vs  Cal Poly,4/1/18,2:00 PM,4/1/18,5:00 PM,Student Recreation Center,Men's Tennis,Men's Tennis vs  Cal Poly Student Recreation Center
General vs  Coaches' Show,4/4/18,6-7 pm,4/4/18,3:00 AM,Lake Alice Trading Company,General,General vs  Coaches' Show Lake Alice Trading Company
Women's Tennis vs  Westmont College (Calif.),4/4/18,1:30 PM,4/4/18,4:30 PM,Student Recreation Center,Women's Tennis,Women's Tennis vs  Westmont College (Calif.) Student Recreation Center
Baseball vs  CSUN,4/6/18,6:00 PM,4/6/18,9:00 PM,"Riverside, CA",Baseball,"Baseball vs  CSUN Riverside, CA"
Men's Track and Field  Pomona-Pitzer Invitational,4/7/18,9:00 AM,4/7/18,12:00 PM,"Claremont, CA",Men's Track and Field,"Men's Track and Field  Pomona-Pitzer Invitational Claremont, CA"
Women's Track and Field  Pomona-Pitzer Invitational,4/7/18,9:00 AM,4/7/18,12:00 PM,"Claremont, CA",Women's Track and Field,"Women's Track and Field  Pomona-Pitzer Invitational Claremont, CA"
Women's Tennis at  CSUN,4/7/18,11AM,4/7/18,2:00 PM,"Northridge, CA",Women's Tennis,"Women's Tennis at  CSUN Northridge, CA"
Softball at  Long Beach State,4/7/18,1:00 PM,4/7/18,4:00 PM,"Long Beach, CA",Softball,"Softball at  Long Beach State Long Beach, CA"
Softball at  Long Beach State,4/7/18,3:30 PM,4/7/18,6:30 PM,"Long Beach, CA",Softball,"Softball at  Long Beach State Long Beach, CA"
Baseball vs  CSUN,4/7/18,6:00 PM,4/7/18,9:00 PM,"Riverside, CA",Baseball,"Baseball vs  CSUN Riverside, CA"
Women's Tennis at  Cal Poly,4/8/18,11AM,4/8/18,2:00 PM,"San Luis Obispo, CA",Women's Tennis,"Women's Tennis at  Cal Poly San Luis Obispo, CA"
Softball at  Long Beach State,4/8/18,1:00 PM,4/8/18,4:00 PM,"Long Beach, CA",Softball,"Softball at  Long Beach State Long Beach, CA"
Baseball vs  CSUN,4/8/18,1:00 PM,4/8/18,4:00 PM,"Riverside, CA",Baseball,"Baseball vs  CSUN Riverside, CA"
Men's Tennis at  Pepperdine,4/8/18,TBD PM,4/8/18,3:00 AM,"Malibu, CA",Men's Tennis,"Men's Tennis at  Pepperdine Malibu, CA"
Women's Golf  Bobcat Desert Invitational,4/9/18, PM,4/9/18,11:59 PM,"Goodyear, AZ",Women's Golf,"Women's Golf  Bobcat Desert Invitational Goodyear, AZ"
Baseball vs  San Diego,4/10/18,6:00 PM,4/10/18,9:00 PM,"Riverside, CA",Baseball,"Baseball vs  San Diego Riverside, CA"
Men's Track and Field  Highlander Challenge,4/13/18,2:00 PM,4/13/18,5:00 PM,"Riverside, CA",Men's Track and Field,"Men's Track and Field  Highlander Challenge Riverside, CA"
Women's Tennis at  Chaminade,4/13/18,2PM,4/13/18,5:00 PM,"Honolulu, HI",Women's Tennis,"Women's Tennis at  Chaminade Honolulu, HI"
Women's Track and Field  Highlander Challenge,4/13/18,2:00 PM,4/13/18,5:00 PM,"Riverside, CA",Women's Track and Field,"Women's Track and Field  Highlander Challenge Riverside, CA"
Baseball at  Hawai'i,4/13/18,9:35 PM,4/14/18,12:35 AM,"Manoa, HI",Baseball,"Baseball at  Hawai'i Manoa, HI"
Men's Tennis at  UC Irvine,4/13/18,1:00 PM,4/13/18,4:00 PM,"Irvine, CA",Men's Tennis,"Men's Tennis at  UC Irvine Irvine, CA"
Softball vs  CSUN,4/14/18,1:00 PM,4/14/18,4:00 PM,"Riverside, CA",Softball,"Softball vs  CSUN Riverside, CA"
Women's Tennis at  Hawai'i,4/14/18,2PM,4/14/18,5:00 PM,"Honolulu, HI",Women's Tennis,"Women's Tennis at  Hawai'i Honolulu, HI"
Softball vs  CSUN,4/14/18,3:30 PM,4/14/18,6:30 PM,"Riverside, CA",Softball,"Softball vs  CSUN Riverside, CA"
Baseball at  Hawai'i,4/14/18,9:35 PM,4/15/18,12:35 AM,"Manoa, HI",Baseball,"Baseball at  Hawai'i Manoa, HI"
Softball vs  CSUN,4/15/18,1:00 PM,4/15/18,4:00 PM,"Riverside, CA",Softball,"Softball vs  CSUN Riverside, CA"
Baseball at  Hawai'i,4/15/18,4:05 PM,4/15/18,7:05 PM,"Manoa, HI",Baseball,"Baseball at  Hawai'i Manoa, HI"
Women's Golf  Big West Championship,4/15/18, PM,4/16/18,11:59 PM,"Irvine, CA",Women's Golf,"Women's Golf  Big West Championship Irvine, CA"
Men's Tennis vs  UC Santa Barbara,4/15/18,12:00 PM,4/15/18,3:00 PM,Student Recreation Center,Men's Tennis,Men's Tennis vs  UC Santa Barbara Student Recreation Center
Men's Tennis vs  Arizona Christian,4/15/18,4:00 PM,4/15/18,7:00 PM,Student Recreation Center,Men's Tennis,Men's Tennis vs  Arizona Christian Student Recreation Center
Men's Golf  UC Santa Barbara Invitational,4/16/18, PM,4/16/18,11:59 PM,"Santa Barbara, CA",Men's Golf,"Men's Golf  UC Santa Barbara Invitational Santa Barbara, CA"
Baseball at  Grand Canyon ,4/18/18,2:00 PM,4/18/18,5:00 PM,"Phoenix, AZ",Baseball,"Baseball at  Grand Canyon  Phoenix, AZ"
Men's Track and Field  Mt. SAC Relays,4/19/18,10:00 AM,4/20/18,11:59 PM,"Walnut, CA",Men's Track and Field,"Men's Track and Field  Mt. SAC Relays Walnut, CA"
Men's Track and Field  Azusa Pacific Bryan Clay Invitational,4/19/18,10:00 AM,4/19/18,11:59 PM,"Azusa, CA",Men's Track and Field,"Men's Track and Field  Azusa Pacific Bryan Clay Invitational Azusa, CA"
Women's Track and Field  Mt. SAC Relays,4/19/18,10:00 AM,4/20/18,11:59 PM,"Walnut, CA",Women's Track and Field,"Women's Track and Field  Mt. SAC Relays Walnut, CA"
Women's Track and Field  Azusa Pacific Bryan Clay Invitational,4/19/18,10:00 AM,4/19/18,11:59 PM,"Azusa, CA",Women's Track and Field,"Women's Track and Field  Azusa Pacific Bryan Clay Invitational Azusa, CA"
Men's Tennis vs  Hawaii,4/19/18,10:00 AM,4/19/18,1:00 PM,Student Recreation Center,Men's Tennis,Men's Tennis vs  Hawaii Student Recreation Center
Women's Track and Field  Beach Invitational,4/20/18,10:00 AM,4/20/18,11:59 PM,"Long Beach, CA",Women's Track and Field,"Women's Track and Field  Beach Invitational Long Beach, CA"
Men's Track and Field  Beach Invitational,4/20/18,10:00 AM,4/20/18,11:59 PM,"Long Beach, CA",Men's Track and Field,"Men's Track and Field  Beach Invitational Long Beach, CA"
Men's Track and Field  Cardinal Classic,4/20/18,6:00 PM,4/20/18,11:59 PM,"Stanford, CA",Men's Track and Field,"Men's Track and Field  Cardinal Classic Stanford, CA"
Women's Track and Field  Cardinal Classic,4/20/18,6:00 PM,4/20/18,11:59 PM,"Stanford, CA",Women's Track and Field,"Women's Track and Field  Cardinal Classic Stanford, CA"
Baseball vs  San Jose State ,4/20/18,6:00 PM,4/20/18,9:00 PM,"Riverside, CA",Baseball,"Baseball vs  San Jose State  Riverside, CA"
Women's Tennis at  UC Irvine,4/21/18,11AM,4/21/18,2:00 PM,"Irvine, CA",Women's Tennis,"Women's Tennis at  UC Irvine Irvine, CA"
Softball at  UC Davis,4/21/18,1:00 PM,4/21/18,4:00 PM,"Davis, CA",Softball,"Softball at  UC Davis Davis, CA"
Softball at  UC Davis,4/21/18,3:30 PM,4/21/18,6:30 PM,"Davis, CA",Softball,"Softball at  UC Davis Davis, CA"
Baseball vs  San Jose State ,4/21/18,6:00 PM,4/21/18,9:00 PM,"Riverside, CA",Baseball,"Baseball vs  San Jose State  Riverside, CA"
Men's Tennis at  UC Davis,4/21/18,1:30 PM,4/21/18,3:00 PM,"Davis, CA",Men's Tennis,"Men's Tennis at  UC Davis Davis, CA"
Softball at  UC Davis,4/22/18,1:00 PM,4/22/18,4:00 PM,"Davis, CA",Softball,"Softball at  UC Davis Davis, CA"
Baseball vs  San Jose State ,4/22/18,1:00 PM,4/22/18,4:00 PM,"Riverside, CA",Baseball,"Baseball vs  San Jose State  Riverside, CA"
Baseball vs  San Diego State ,4/24/18,6:00 PM,4/24/18,9:00 PM,"Riverside, CA",Baseball,"Baseball vs  San Diego State  Riverside, CA"
Men's Tennis vs  Big West Conference Championships,4/26/18,TBD PM,4/26/18,3:00 AM,"Indian Wells, CA",Men's Tennis,"Men's Tennis vs  Big West Conference Championships Indian Wells, CA"
Women's Tennis vs  Big West Conference,4/26/18,TBD PM,4/26/18,3:00 AM,"Indian Wells, CA",Women's Tennis,"Women's Tennis vs  Big West Conference Indian Wells, CA"
Softball vs  Hawaii,4/27/18,3:00 PM,4/27/18,6:00 PM,"Riverside, CA",Softball,"Softball vs  Hawaii Riverside, CA"
Baseball at  UC Santa Barbara,4/27/18,3:00 PM,4/27/18,6:00 PM,"Santa Barbara, CA",Baseball,"Baseball at  UC Santa Barbara Santa Barbara, CA"
Men's Track and Field  Steve Scott Invitational,4/27/18,4:00 PM,4/27/18,11:59 PM,"Irvine, CA",Men's Track and Field,"Men's Track and Field  Steve Scott Invitational Irvine, CA"
Women's Track and Field  Steve Scott Invitational,4/27/18,4:00 PM,4/27/18,11:59 PM,"Irvine, CA",Women's Track and Field,"Women's Track and Field  Steve Scott Invitational Irvine, CA"
Women's Tennis vs  Big West Conference,4/27/18,TBD PM,4/27/18,3:00 AM,"Indian Wells, CA",Women's Tennis,"Women's Tennis vs  Big West Conference Indian Wells, CA"
Men's Tennis vs  Big West Conference Championships,4/27/18,TBD PM,4/27/18,3:00 AM,"Indian Wells, CA",Men's Tennis,"Men's Tennis vs  Big West Conference Championships Indian Wells, CA"
Softball vs  Hawaii,4/28/18,1:00 PM,4/28/18,4:00 PM,"Riverside, CA",Softball,"Softball vs  Hawaii Riverside, CA"
Baseball at  UC Santa Barbara,4/28/18,2:00 PM,4/28/18,5:00 PM,"Santa Barbara, CA",Baseball,"Baseball at  UC Santa Barbara Santa Barbara, CA"
Softball vs  Hawaii,4/28/18,3:30 PM,4/28/18,6:30 PM,"Riverside, CA",Softball,"Softball vs  Hawaii Riverside, CA"
Women's Tennis vs  Big West Conference,4/28/18,TBD PM,4/28/18,3:00 AM,"Indian Wells, CA",Women's Tennis,"Women's Tennis vs  Big West Conference Indian Wells, CA"
Men's Tennis vs  Big West Conference Championships,4/28/18,TBD PM,4/28/18,3:00 AM,"Indian Wells, CA",Men's Tennis,"Men's Tennis vs  Big West Conference Championships Indian Wells, CA"
Baseball at  UC Santa Barbara,4/29/18,1:00 PM,4/29/18,4:00 PM,"Santa Barbara, CA",Baseball,"Baseball at  UC Santa Barbara Santa Barbara, CA"
Women's Tennis vs  Big West Conference,4/29/18,TBD PM,4/29/18,3:00 AM,"Indian Wells, CA",Women's Tennis,"Women's Tennis vs  Big West Conference Indian Wells, CA"
Men's Golf  Big West Conference,4/29/18, PM,4/30/18,11:59 PM,"Industry, CA",Men's Golf,"Men's Golf  Big West Conference Industry, CA"
Baseball at  San Diego State ,5/1/18,6:00 PM,5/1/18,9:00 PM,"San Diego, CA",Baseball,"Baseball at  San Diego State  San Diego, CA"
General vs  Coaches' Show,5/2/18,6-7 pm,5/2/18,3:00 AM,Lake Alice Trading Company,General,General vs  Coaches' Show Lake Alice Trading Company
Men's Track and Field  Big West Championship (multis),5/4/18,1:00 PM,5/4/18,11:59 PM,"Northridge, CA",Men's Track and Field,"Men's Track and Field  Big West Championship (multis) Northridge, CA"
Women's Track and Field  Big West Championship (multis),5/4/18,1:00 PM,5/4/18,11:59 PM,"Northridge, CA",Women's Track and Field,"Women's Track and Field  Big West Championship (multis) Northridge, CA"
Baseball vs  Long Beach State,5/4/18,6:00 PM,5/4/18,9:00 PM,"Riverside, CA",Baseball,"Baseball vs  Long Beach State Riverside, CA"
Women's Track and Field  Oxy Invitational,5/5/18,10:00 AM,5/5/18,1:00 PM,"Los Angeles, CA",Women's Track and Field,"Women's Track and Field  Oxy Invitational Los Angeles, CA"
Men's Track and Field  Oxy Invitational,5/5/18,10:00 AM,5/5/18,1:00 PM,"Los Angeles, CA",Men's Track and Field,"Men's Track and Field  Oxy Invitational Los Angeles, CA"
Softball vs  UC Santa Barbara,5/5/18,1:00 PM,5/5/18,4:00 PM,"Riverside, CA",Softball,"Softball vs  UC Santa Barbara Riverside, CA"
Softball vs  UC Santa Barbara,5/5/18,3:30 PM,5/5/18,6:30 PM,"Riverside, CA",Softball,"Softball vs  UC Santa Barbara Riverside, CA"
Baseball vs  Long Beach State,5/5/18,6:00 PM,5/5/18,9:00 PM,"Riverside, CA",Baseball,"Baseball vs  Long Beach State Riverside, CA"
Baseball vs  Long Beach State,5/6/18,1:00 PM,5/6/18,4:00 PM,"Riverside, CA",Baseball,"Baseball vs  Long Beach State Riverside, CA"
Softball vs  UC Santa Barbara,5/6/18,1:00 PM,5/6/18,4:00 PM,"Riverside, CA",Softball,"Softball vs  UC Santa Barbara Riverside, CA"
Women's Golf  NCAA Regionals ,5/7/18, PM,5/8/18,11:59 PM,,Women's Golf,Women's Golf  NCAA Regionals  
Baseball at  San Diego,5/8/18,6:00 PM,5/8/18,9:00 PM,"San Diego, CA",Baseball,"Baseball at  San Diego San Diego, CA"
Men's Track and Field  Big West Championship,5/11/18,2:00 PM,5/11/18,11:59 PM,"Northridge, CA",Men's Track and Field,"Men's Track and Field  Big West Championship Northridge, CA"
Women's Track and Field  Big West Championship,5/11/18,2:00 PM,5/11/18,11:59 PM,"Northridge, CA",Women's Track and Field,"Women's Track and Field  Big West Championship Northridge, CA"
Softball at  Cal State Fullerton,5/11/18,6:00 PM,5/11/18,9:00 PM,"Fullerton, CA",Softball,"Softball at  Cal State Fullerton Fullerton, CA"
Baseball at  Cal State Fullerton,5/11/18,7:00 PM,5/11/18,10:00 PM,"Fullerton, CA",Baseball,"Baseball at  Cal State Fullerton Fullerton, CA"
Softball at  Cal State Fullerton,5/12/18,2:00 PM,5/12/18,5:00 PM,"Fullerton, CA",Softball,"Softball at  Cal State Fullerton Fullerton, CA"
Softball at  Cal State Fullerton,5/12/18,4:30 PM,5/12/18,7:30 PM,"Fullerton, CA",Softball,"Softball at  Cal State Fullerton Fullerton, CA"
Baseball at  Cal State Fullerton,5/12/18,6:00 PM,5/12/18,9:00 PM,"Fullerton, CA",Baseball,"Baseball at  Cal State Fullerton Fullerton, CA"
Baseball at  Cal State Fullerton,5/13/18,1:00 PM,5/13/18,4:00 PM,"Fullerton, CA",Baseball,"Baseball at  Cal State Fullerton Fullerton, CA"
Baseball at  UC Irvine,5/18/18,6:30 PM,5/18/18,9:30 PM,"Irvine, CA",Baseball,"Baseball at  UC Irvine Irvine, CA"
Baseball at  UC Irvine,5/19/18,2:00 PM,5/19/18,5:00 PM,"Irvine, CA",Baseball,"Baseball at  UC Irvine Irvine, CA"
Baseball at  UC Irvine,5/20/18,1:00 PM,5/20/18,4:00 PM,"Irvine, CA",Baseball,"Baseball at  UC Irvine Irvine, CA"
Men's Track and Field  NCAA First Round Championship,5/24/18,10:00 AM,5/25/18,11:59 PM,"Sacramento, CA",Men's Track and Field,"Men's Track and Field  NCAA First Round Championship Sacramento, CA"
Women's Track and Field  NCAA First Round Championship,5/24/18,10:00 AM,5/25/18,11:59 PM,"Sacramento, CA",Women's Track and Field,"Women's Track and Field  NCAA First Round Championship Sacramento, CA"
Baseball vs  Cal Poly,5/24/18,6:00 PM,5/24/18,9:00 PM,"Riverside, CA",Baseball,"Baseball vs  Cal Poly Riverside, CA"
Baseball vs  Cal Poly,5/25/18,6:00 PM,5/25/18,9:00 PM,"Riverside, CA",Baseball,"Baseball vs  Cal Poly Riverside, CA"
Baseball vs  Cal Poly,5/26/18,1:00 PM,5/26/18,4:00 PM,"Riverside, CA",Baseball,"Baseball vs  Cal Poly Riverside, CA"
Women's Track and Field  NCAA National Championship,6/6/18,10:00 AM,6/8/18,11:59 PM,"Eugene, OR",Women's Track and Field,"Women's Track and Field  NCAA National Championship Eugene, OR"
Men's Track and Field  NCAA National Championship,6/6/18,10:00 AM,6/8/18,11:59 PM,"Eugene, OR",Men's Track and Field,"Men's Track and Field  NCAA National Championship Eugene, OR"
Men's Track and Field  USATF Junior National Championships,6/15/18,10:00 AM,6/16/18,11:59 PM,,Men's Track and Field,Men's Track and Field  USATF Junior National Championships 
Women's Track and Field  USATF Junior National Championships,6/15/18,10:00 AM,6/16/18,11:59 PM,,Women's Track and Field,Women's Track and Field  USATF Junior National Championships 
Women's Track and Field  USATF Senior National Championships,6/21/18,10:00 AM,6/23/18,11:59 PM,,Women's Track and Field,Women's Track and Field  USATF Senior National Championships 
Men's Track and Field  USATF Senior National Championships,6/21/18,10:00 AM,6/23/18,11:59 PM,,Men's Track and Field,Men's Track and Field  USATF Senior National Championships 
